educ,ne,nc,west,south,exper,motheduc,fatheduc,brkhme14,sibs,urban,ne18,nc18,south18,west18,urban18,tuit17,tuit18,lwage,expersq
13,1,0,0,0,13,14,15,0,7,1,1,0,0,0,1,7.394907,7.394907,2.984475,169
16,1,0,0,0,8,13,14,0,3,1,0,0,0,1,1,7.394907,7.394907,2.638694,64
11,1,0,0,0,12,9,12,0,5,1,1,0,0,0,1,7.394907,6.641155,2.88617,144
12,1,0,0,0,8,9,12,0,5,1,1,0,0,0,1,6.053333,6.125471,2.403126,64
11,1,0,0,0,11,12,12,0,3,1,1,0,0,0,1,6.641155,5.851309,2.074454,121
12,1,0,0,0,10,12,12,1,2,1,1,0,0,0,1,5.851309,6.053333,2.544421,100
12,1,0,0,0,13,12,14,1,0,1,1,0,0,0,1,7.394907,7.394907,2.503967,169
9,1,0,0,0,12,12,12,0,3,1,1,0,0,0,1,6.053333,6.125471,2.98266,144
16,0,1,0,0,7,16,17,0,2,1,1,0,0,0,1,7.394907,6.641155,3.164809,49
14,1,0,0,0,8,16,18,0,2,1,1,0,0,0,1,6.641155,5.851309,2.880421,64
13,1,0,0,0,10,10,12,0,3,0,1,0,0,0,1,6.641155,5.851309,2.428736,100
15,0,0,1,0,8,13,12,0,0,1,0,0,0,1,1,15.00826,15.00826,2.574831,64
11,0,0,0,1,13,12,12,0,2,1,1,0,0,0,1,7.833584,7.833584,2.753639,169
12,1,0,0,0,8,12,12,0,3,1,1,0,0,0,1,15.17254,15.13789,2.026976,64
14,1,0,0,0,6,12,12,0,2,1,1,0,0,0,1,13.93464,15.17254,2.432514,36
18,1,0,0,0,3,16,17,0,2,1,1,0,0,0,1,14.46297,13.93464,2.70482,9
16,1,0,0,0,11,12,12,0,1,1,1,0,0,0,1,15.08226,15.08226,3.110594,121
14,1,0,0,0,6,12,12,0,1,1,1,0,0,0,1,13.93464,15.17254,2.745852,36
17,0,0,1,0,8,10,16,0,1,1,1,0,0,0,1,15.08226,15.08226,3.211213,64
17,1,0,0,0,3,20,16,0,1,1,1,0,0,0,1,13.93464,15.17254,2.574632,9
16,1,0,0,0,5,16,17,0,1,1,1,0,0,0,1,14.46297,13.93464,2.632827,25
12,1,0,0,0,14,12,12,0,2,1,1,0,0,0,1,15.08226,15.08226,2.484907,196
15,1,0,0,0,12,13,20,0,1,1,1,0,0,0,1,15.08226,15.08226,4.109144,144
14,0,0,1,0,10,16,16,0,1,1,1,0,0,0,0,15.08226,15.00826,2.554323,100
8,1,0,0,0,14,9,10,1,2,1,1,0,0,0,1,14.46297,13.93464,2.353878,196
15,1,0,0,0,7,12,12,0,2,1,1,0,0,0,1,14.46297,14.46297,2.553185,49
12,1,0,0,0,12,12,16,0,3,1,1,0,0,0,1,15.08226,15.00826,2.831256,144
15,1,0,0,0,7,12,16,0,3,1,1,0,0,0,1,14.46297,13.93464,2.70987,49
15,1,0,0,0,12,12,12,0,2,1,1,0,0,0,1,15.08226,15.08226,4.205885,144
15,1,0,0,0,5,12,8,0,2,1,1,0,0,0,1,13.93464,15.17254,2.129833,25
13,1,0,0,0,10,10,14,0,3,0,1,0,0,0,1,15.00826,14.46297,1.581992,100
12,1,0,0,0,8,10,15,0,3,1,1,0,0,0,1,13.93464,15.17254,1.751799,64
10,1,0,0,0,13,9,9,0,7,1,1,0,0,0,1,15.08226,15.00826,1.534162,169
14,1,0,0,0,7,12,12,0,3,0,1,0,0,0,1,14.46297,13.93464,2.905218,49
12,1,0,0,0,14,12,12,0,3,1,1,0,0,0,0,15.08226,15.08226,2.440735,196
16,0,0,0,1,5,12,12,0,3,1,1,0,0,0,1,13.93464,15.17254,2.772589,25
19,0,0,0,1,7,13,8,1,4,1,1,0,0,0,1,15.08226,15.08226,2.404634,49
8,1,0,0,0,15,16,8,1,4,1,1,0,0,0,1,15.08226,15.00826,1.814005,225
11,1,0,0,0,9,8,12,1,2,1,1,0,0,0,1,13.93464,15.17254,2.041076,81
12,1,0,0,0,14,12,12,0,2,1,1,0,0,0,1,15.08226,15.08226,2.215261,196
14,1,0,0,0,10,12,18,0,3,1,1,0,0,0,1,15.08226,15.00826,2.793993,100
16,1,0,0,0,6,12,8,0,3,1,1,0,0,0,1,14.46297,13.93464,2.320129,36
12,1,0,0,0,11,12,12,0,4,1,1,0,0,0,1,15.00826,14.46297,2.511544,121
15,1,0,0,0,10,12,18,0,0,1,1,0,0,0,1,15.08226,15.08226,3.312402,100
13,0,0,0,1,12,12,12,1,6,1,1,0,0,0,1,15.08226,15.08226,2.668829,144
12,1,0,0,0,13,16,13,0,2,1,1,0,0,0,1,15.08226,15.08226,1.570217,169
12,0,0,0,1,10,12,14,0,1,1,1,0,0,0,1,15.00826,14.46297,2.705197,100
18,1,0,0,0,5,13,13,0,3,1,1,0,0,0,1,15.08226,15.00826,2.878925,25
12,1,0,0,0,14,12,12,0,5,1,1,0,0,0,1,12.38751,12.38751,2.928074,196
12,1,0,0,0,12,12,8,0,4,1,1,0,0,0,1,12.38751,12.38751,2.668829,144
11,1,0,0,0,10,11,10,0,3,1,1,0,0,0,1,11.96709,12.39135,2.263364,100
11,1,0,0,0,10,12,12,0,2,1,1,0,0,0,1,12.39135,12.42031,2.212071,100
15,1,0,0,0,10,12,18,0,2,0,1,0,0,0,1,12.38751,12.38751,2.149075,100
12,1,0,0,0,9,12,12,0,2,1,1,0,0,0,1,11.96709,12.39135,2.054749,81
12,1,0,0,0,13,12,10,0,1,1,1,0,0,0,1,12.38751,12.38751,3.055246,169
15,1,0,0,0,7,12,16,0,3,1,1,0,0,0,1,9.867887,9.769236,2.981204,49
15,0,0,1,0,8,12,8,0,2,1,1,0,0,0,1,10.20562,9.867887,2.636983,64
12,1,0,0,0,15,12,12,0,4,1,1,0,0,0,1,11.15503,11.15503,4.000216,225
15,1,0,0,0,7,12,12,0,4,1,1,0,0,0,1,10.20562,9.867887,2.578778,49
12,1,0,0,0,8,12,12,1,4,1,1,0,0,0,1,9.769236,9.343459,2.171849,64
11,1,0,0,0,11,12,12,0,3,1,1,0,0,0,1,10.20562,9.867887,2.76414,121
15,1,0,0,0,12,12,13,0,3,1,1,0,0,0,1,7.311346,7.311346,3.953792,144
15,1,0,0,0,12,12,12,0,3,1,1,0,0,0,1,5.849079,5.849079,3.13952,144
12,1,0,0,0,15,12,13,0,3,0,1,0,0,0,1,11.15503,11.15503,1.760086,225
15,1,0,0,0,10,14,14,0,8,1,1,0,0,0,1,11.15503,11.15503,2.527183,100
14,1,0,0,0,7,14,14,0,8,1,1,0,0,0,1,9.867887,9.769236,2.690088,49
11,1,0,0,0,13,4,4,0,2,1,1,0,0,0,1,11.15503,11.15503,1.658103,169
12,1,0,0,0,13,11,12,0,3,1,1,0,0,0,1,15.08226,15.08226,2.81675,169
12,1,0,0,0,10,11,12,0,3,1,1,0,0,0,1,14.46297,13.93464,2.557662,100
7,1,0,0,0,21,12,10,0,9,1,1,0,0,0,1,15.08226,15.08226,2.219467,441
12,1,0,0,0,12,12,12,0,5,1,1,0,0,0,1,15.08226,15.00826,2.715219,144
16,0,0,0,1,11,16,16,0,6,1,1,0,0,0,1,15.08226,15.08226,3.106211,121
12,1,0,0,0,12,12,12,1,5,0,1,0,0,0,0,15.08226,15.00826,2.599837,144
12,1,0,0,0,13,14,11,0,7,0,1,0,0,0,1,15.08226,15.08226,2.728113,169
12,1,0,0,0,12,12,16,0,1,1,1,0,0,0,1,15.08226,15.08226,2.61139,144
19,0,0,1,0,8,16,20,0,2,1,0,1,0,0,1,7.311346,7.311346,2.908536,64
19,1,0,0,0,7,16,20,0,2,1,1,0,0,0,1,7.311346,7.311346,2.510515,49
12,1,0,0,0,14,12,12,0,2,1,1,0,0,0,1,12.38751,12.38751,1.956634,196
12,1,0,0,0,12,12,11,0,2,1,1,0,0,0,1,12.38751,12.36305,1.520207,144
12,1,0,0,0,9,8,8,0,4,1,1,0,0,0,1,11.96709,12.39135,2.598299,81
12,1,0,0,0,11,7,12,1,5,1,1,0,0,0,1,12.38751,12.36305,2.405886,121
12,1,0,0,0,11,12,12,0,0,1,1,0,0,0,1,12.38751,12.36305,2.605771,121
12,1,0,0,0,9,12,9,0,1,1,1,0,0,0,1,11.96709,12.39135,2.569531,81
14,1,0,0,0,9,16,14,0,1,1,1,0,0,0,1,12.36305,11.96709,2.158004,81
15,1,0,0,0,5,14,16,0,1,1,1,0,0,0,1,12.42031,12.81319,2.263899,25
12,1,0,0,0,9,12,12,1,3,1,1,0,0,0,1,12.39135,12.42031,2.040221,81
12,1,0,0,0,8,12,12,0,4,1,1,0,0,0,1,12.42031,12.81319,2.383166,64
16,1,0,0,0,10,12,14,0,2,1,1,0,0,0,1,12.38751,12.38751,3.123566,100
15,1,0,0,0,10,15,14,0,2,1,1,0,0,0,1,12.38751,12.38751,2.691009,100
15,1,0,0,0,8,12,18,0,2,1,1,0,0,0,1,12.38751,12.36305,2.87855,64
12,1,0,0,0,13,12,12,0,1,1,1,0,0,0,1,12.38751,12.38751,1.604974,169
13,1,0,0,0,12,12,12,0,3,1,1,0,0,0,1,12.38751,12.38751,2.533572,144
15,1,0,0,0,11,12,12,0,3,1,1,0,0,0,1,12.38751,12.38751,2.615585,121
10,0,1,0,0,13,8,6,1,4,1,0,1,0,0,1,9.417682,8.826549,0.965081,169
12,0,1,0,0,9,12,12,0,1,1,0,1,0,0,1,8.826549,9.349703,2.030824,81
17,0,1,0,0,10,12,12,0,2,1,0,1,0,0,1,9.692757,9.692757,2.733368,100
18,0,0,0,1,9,16,16,0,2,1,0,1,0,0,1,9.692757,9.692757,3.79202,81
17,0,1,0,0,8,16,16,0,2,1,0,1,0,0,1,9.692757,9.692757,2.645075,64
12,0,1,0,0,16,12,10,0,4,1,0,1,0,0,1,9.692757,9.692757,2.403126,256
11,0,1,0,0,12,12,10,0,4,1,0,1,0,0,1,9.692757,9.417682,1.944522,144
12,0,0,1,0,9,12,14,0,2,1,0,1,0,0,1,8.826549,9.349703,2.840439,81
14,0,1,0,0,10,12,18,0,3,1,0,1,0,0,1,9.692757,9.417682,2.750659,100
12,0,1,0,0,8,12,12,0,3,1,0,1,0,0,1,9.349703,10.44435,2.678491,64
12,0,1,0,0,12,16,12,0,3,1,0,1,0,0,1,9.692757,9.692757,2.851526,144
12,0,1,0,0,13,12,12,0,3,1,0,1,0,0,1,9.692757,9.692757,2.191663,169
12,0,1,0,0,13,11,11,0,2,1,0,1,0,0,1,9.692757,9.692757,3.194509,169
9,0,1,0,0,11,9,10,0,4,1,0,1,0,0,1,7.356897,7.748579,0.603916,121
10,0,1,0,0,11,8,7,0,9,1,0,1,0,0,1,7.305873,7.356897,1.570217,121
10,0,0,0,1,12,8,8,1,3,1,0,1,0,0,1,7.305873,7.305873,1.975682,144
12,0,1,0,0,13,12,12,0,1,1,0,1,0,0,1,8.334936,8.334936,2.239024,169
11,0,1,0,0,16,9,16,0,5,1,0,1,0,0,1,8.334936,8.334936,2.387417,256
12,0,1,0,0,11,12,16,0,3,1,0,1,0,0,1,8.334936,7.823056,2.079442,121
16,0,1,0,0,7,12,16,0,7,1,0,1,0,0,1,8.334936,7.823056,2.326326,49
15,0,1,0,0,12,12,12,0,3,1,0,1,0,0,1,8.334936,8.334936,3.310683,144
16,0,1,0,0,8,12,16,0,4,1,0,1,0,0,1,8.334936,8.334936,2.95027,64
12,0,0,1,0,13,12,18,0,2,1,0,1,0,0,1,8.334936,8.334936,1.482438,169
17,0,0,1,0,6,12,13,0,1,1,0,0,1,0,1,7.823056,7.305873,2.203088,36
13,0,1,0,0,13,12,12,0,5,1,0,1,0,0,1,8.334936,8.334936,2.195487,169
12,0,1,0,0,12,12,12,0,5,1,0,1,0,0,1,8.334936,8.334936,2.833613,144
12,0,1,0,0,12,12,12,0,4,1,0,1,0,0,1,8.334936,8.334936,1.32332,144
12,0,1,0,0,8,12,12,0,4,1,0,1,0,0,1,7.356897,7.748579,1.738896,64
12,0,1,0,0,8,12,16,1,3,1,0,1,0,0,1,7.748579,8.683432,2.227389,64
17,0,1,0,0,7,14,16,0,1,1,0,1,0,0,1,8.334936,7.823056,2.445686,49
18,0,0,1,0,10,12,16,0,4,1,0,1,0,0,1,8.334936,8.334936,2.563469,100
12,0,1,0,0,14,12,12,1,1,1,0,1,0,0,1,8.334936,8.334936,2.727468,196
12,0,1,0,0,15,12,15,1,1,1,0,1,0,0,1,8.334936,8.334936,2.253795,225
13,0,0,0,1,13,6,12,1,7,1,0,1,0,0,1,8.334936,8.334936,2.071473,169
15,0,1,0,0,8,16,16,0,3,1,0,1,0,0,1,8.334936,7.823056,2.331573,64
12,0,1,0,0,10,11,12,0,5,1,0,1,0,0,1,7.305873,7.356897,2.753456,100
12,0,1,0,0,8,11,14,0,5,1,0,1,0,0,1,7.356897,7.748579,3.563716,64
12,0,1,0,0,9,16,16,0,7,1,0,1,0,0,1,7.356897,7.748579,2.445686,81
12,0,1,0,0,10,16,12,1,1,1,0,1,0,0,1,7.305873,7.356897,2.420368,100
12,0,1,0,0,10,9,9,0,3,1,0,1,0,0,1,7.305873,7.356897,2.205211,100
8,0,1,0,0,15,10,10,1,2,1,0,1,0,0,1,14.07024,13.38858,2.846381,225
8,0,1,0,0,13,10,10,1,2,1,0,1,0,0,1,13.63498,14.25512,1.992897,169
10,0,1,0,0,13,13,14,0,2,1,0,1,0,0,1,14.07024,13.38858,2.486508,169
20,0,0,1,0,6,12,14,0,2,1,0,1,0,0,1,18.17392,18.17392,1.724368,36
15,0,0,1,0,8,12,14,0,2,1,0,1,0,0,1,18.17392,14.07024,3.140653,64
12,0,1,0,0,12,12,18,0,1,1,0,1,0,0,1,18.17392,18.17392,2.674366,144
16,0,1,0,0,12,17,17,0,2,1,0,1,0,0,1,18.17392,18.17392,3.07995,144
17,0,1,0,0,8,16,13,1,0,1,0,1,0,0,1,18.17392,18.17392,2.679879,64
12,0,1,0,0,14,12,16,0,5,1,0,1,0,0,1,18.17392,18.17392,2.733368,196
16,0,1,0,0,6,12,16,0,1,1,0,1,0,0,1,14.07024,13.38858,2.490081,36
13,0,1,0,0,8,12,10,0,2,1,0,1,0,0,1,13.63498,14.25512,2.206332,64
12,0,1,0,0,12,11,8,0,4,1,0,1,0,0,1,18.17392,14.07024,2.129833,144
12,0,1,0,0,13,12,12,0,2,1,0,1,0,0,1,9.692757,9.692757,3.168594,169
12,0,1,0,0,10,12,12,0,2,1,0,1,0,0,1,9.417682,8.826549,0.223143,100
16,0,1,0,0,5,12,12,0,2,1,0,1,0,0,1,8.826549,9.349703,2.865166,25
12,0,1,0,0,12,10,14,0,2,1,0,1,0,0,1,9.692757,9.692757,2.184802,144
12,0,1,0,0,16,3,12,0,5,1,0,1,0,0,1,9.692757,9.692757,2.668829,256
9,0,1,0,0,15,12,12,0,2,1,0,1,0,0,1,9.692757,9.692757,1.329478,225
8,0,1,0,0,16,12,12,0,2,1,0,1,0,0,1,9.692757,9.417682,0.747955,256
13,0,1,0,0,10,11,10,0,0,0,0,1,0,0,1,9.417682,8.826549,2.631089,100
10,0,1,0,0,14,9,9,1,4,1,0,1,0,0,1,9.692757,9.417682,2.009449,196
15,0,1,0,0,11,9,6,1,4,1,0,1,0,0,1,9.692757,9.692757,1.962152,121
12,0,0,0,1,11,8,8,1,4,0,0,1,0,0,1,9.692757,9.417682,1.956634,121
11,0,1,0,0,9,12,9,0,2,1,0,1,0,0,1,9.349703,10.44435,1.64069,81
10,0,1,0,0,16,12,10,0,3,1,0,1,0,0,0,9.692757,9.692757,1.666596,256
12,0,1,0,0,13,12,12,0,2,1,0,1,0,0,0,9.692757,9.692757,2.638794,169
12,0,0,0,1,14,8,6,0,5,1,0,1,0,0,1,9.692757,9.692757,2.116567,196
11,0,1,0,0,15,11,12,1,6,0,0,1,0,0,1,9.692757,9.692757,2.244679,225
12,0,0,1,0,14,12,12,0,2,1,0,1,0,0,0,9.692757,9.692757,3.5674,196
14,0,1,0,0,10,12,12,0,3,0,0,1,0,0,1,9.692757,9.692757,2.76414,100
12,0,1,0,0,15,12,12,0,3,0,0,1,0,0,0,9.692757,9.692757,2.769546,225
12,0,1,0,0,13,12,12,0,3,0,0,1,0,0,1,9.692757,9.692757,3.010846,169
11,0,1,0,0,9,12,8,1,6,1,0,1,0,0,1,9.349703,10.44435,2.002481,81
12,0,1,0,0,11,13,14,0,3,0,0,1,0,0,1,9.417682,8.826549,3.012539,121
15,0,0,0,1,6,13,14,0,3,1,0,1,0,0,1,8.826549,9.349703,3.057175,36
9,0,1,0,0,13,12,12,0,3,1,0,1,0,0,1,14.07024,13.38858,2.212071,169
12,0,1,0,0,12,12,12,0,1,1,0,1,0,0,1,18.17392,18.17392,2.277106,144
12,0,1,0,0,13,12,14,0,1,1,0,1,0,0,1,18.17392,18.17392,2.321622,169
14,0,1,0,0,10,10,12,0,4,1,0,1,0,0,1,18.17392,18.17392,1.588329,100
15,0,1,0,0,8,12,13,0,2,1,0,1,0,0,1,18.17392,14.07024,2.721896,64
15,0,1,0,0,7,12,13,0,2,1,0,1,0,0,1,14.07024,13.38858,2.523789,49
15,0,1,0,0,5,12,13,0,2,1,0,1,0,0,1,13.63498,14.25512,2.322423,25
12,0,1,0,0,9,12,11,0,2,1,0,1,0,0,1,13.63498,14.25512,2.628474,81
15,0,1,0,0,9,11,12,0,2,1,0,1,0,0,0,18.17392,18.17392,2.891592,81
12,0,0,0,1,9,12,12,0,4,1,0,1,0,0,1,13.38858,13.63498,2.233204,81
12,0,0,0,1,11,11,6,0,5,0,0,1,0,0,1,14.07024,6.446358,2.24589,121
12,0,1,0,0,11,12,12,0,3,1,0,1,0,0,1,18.17392,14.07024,2.376693,121
15,0,1,0,0,7,12,12,0,3,1,0,1,0,0,1,13.38858,13.63498,3.096568,49
18,0,1,0,0,9,12,12,0,4,1,0,1,0,0,1,18.17392,18.17392,3.138833,81
20,0,1,0,0,5,12,13,0,1,1,0,1,0,0,1,18.17392,18.17392,1.922438,25
12,0,1,0,0,13,16,17,0,1,1,0,1,0,0,1,18.17392,18.17392,2.212071,169
15,0,1,0,0,5,12,14,0,0,1,0,1,0,0,1,13.63498,14.25512,2.792577,25
12,0,1,0,0,15,12,12,0,1,1,0,1,0,0,1,18.17392,18.17392,3.657229,225
14,0,1,0,0,9,12,12,0,1,1,0,1,0,0,1,14.07024,14.07024,1.894972,81
12,0,1,0,0,11,12,16,0,1,1,0,1,0,0,1,18.17392,14.07024,1.956634,121
15,1,0,0,0,10,16,16,0,2,0,0,1,0,0,1,18.17392,18.17392,1.856476,100
16,0,1,0,0,9,12,16,0,1,1,0,1,0,0,1,18.17392,18.17392,3.292984,81
12,0,1,0,0,9,13,11,0,3,1,0,1,0,0,1,10.82658,12.36138,1.429724,81
12,0,1,0,0,11,12,11,0,4,1,0,1,0,0,1,9.755371,10.82658,2.093007,121
12,0,1,0,0,13,13,12,1,1,1,0,1,0,0,1,10.34033,10.34033,2.719128,169
12,0,1,0,0,11,11,12,1,4,1,0,1,0,0,1,9.755371,10.82658,2.146239,121
12,0,1,0,0,13,14,16,0,3,1,0,1,0,0,1,10.34033,10.34033,2.152251,169
17,0,1,0,0,5,12,16,0,3,1,0,1,0,0,1,9.755371,10.82658,2.557323,25
12,0,1,0,0,13,12,16,0,1,1,0,1,0,0,1,10.34033,10.34033,2.494476,169
9,1,0,0,0,11,12,13,0,5,1,0,1,0,0,1,12.36138,12.25094,2.115829,121
15,0,1,0,0,9,16,17,0,4,0,0,1,0,0,1,10.34033,10.34033,2.785674,81
17,0,1,0,0,6,16,17,0,4,1,0,1,0,0,1,9.755371,10.82658,2.441263,36
15,0,1,0,0,9,16,16,0,6,1,0,1,0,0,1,10.34033,10.34033,2.590267,81
15,0,1,0,0,7,16,16,0,6,1,0,1,0,0,1,9.755371,10.82658,2.312155,49
12,0,1,0,0,14,14,14,1,3,1,0,1,0,0,0,10.34033,10.34033,2.416314,196
17,0,1,0,0,9,12,14,0,4,0,0,1,0,0,1,10.34033,10.34033,2.962002,81
12,0,1,0,0,12,12,14,0,4,1,0,1,0,0,1,10.34033,10.34033,2.621436,144
15,0,1,0,0,12,11,10,0,7,1,0,1,0,0,0,10.34033,10.34033,1.433577,144
15,0,1,0,0,7,13,16,0,1,1,0,1,0,0,1,10.82658,12.36138,2.327561,49
15,0,1,0,0,8,12,12,0,4,1,0,1,0,0,1,10.34033,9.755371,1.962757,64
12,0,1,0,0,13,12,12,0,3,1,0,1,0,0,1,11.28037,11.28037,2.223448,169
15,0,1,0,0,7,12,12,0,3,1,0,1,0,0,1,10.54558,10.11386,2.843596,49
12,0,1,0,0,8,12,12,0,3,1,0,1,0,0,1,10.11386,11.58758,2.062156,64
12,0,1,0,0,12,10,11,0,6,1,0,1,0,0,1,11.28037,11.28037,3.005302,144
15,0,1,0,0,8,12,13,0,2,1,0,1,0,0,1,10.76843,10.54558,2.853298,64
15,0,1,0,0,12,12,14,0,2,1,0,1,0,0,1,11.28037,11.28037,3.184914,144
14,0,1,0,0,8,12,12,0,6,1,0,1,0,0,1,10.76843,10.54558,2.154165,64
13,0,1,0,0,13,12,12,0,3,1,0,1,0,0,1,11.28037,11.28037,3.188104,169
17,0,1,0,0,8,12,12,0,0,1,0,1,0,0,1,11.28037,11.28037,3.033088,64
16,0,1,0,0,10,12,12,0,1,1,0,1,0,0,1,11.28037,11.28037,2.309652,100
15,0,1,0,0,7,12,12,0,1,0,0,1,0,0,1,10.54558,10.11386,1.954573,49
12,0,1,0,0,9,12,12,0,3,1,0,1,0,0,1,10.54558,10.11386,2.751153,81
12,0,1,0,0,14,12,12,0,2,1,0,1,0,0,0,11.28037,11.28037,2.793993,196
12,0,1,0,0,9,12,12,0,2,1,0,1,0,0,1,10.54558,10.11386,2.040221,81
12,0,1,0,0,11,12,12,0,6,0,0,1,0,0,1,11.28037,10.76843,2.411784,121
14,0,1,0,0,11,15,16,0,3,1,0,1,0,0,1,11.28037,11.28037,3.745567,121
15,0,0,0,1,9,15,16,0,3,1,0,1,0,0,1,11.28037,10.76843,3.149467,81
15,0,1,0,0,7,15,16,0,3,1,0,1,0,0,1,10.76843,10.54558,3.124494,49
12,0,1,0,0,13,12,12,0,4,0,0,1,0,0,0,11.28037,11.28037,2.54312,169
12,0,1,0,0,10,12,12,0,2,1,0,1,0,0,1,10.76843,10.54558,2.413251,100
12,0,1,0,0,9,11,12,0,3,1,0,1,0,0,1,10.11386,11.58758,2.212071,81
15,0,1,0,0,11,12,20,0,7,1,0,1,0,0,1,11.28037,11.28037,3.000187,121
15,0,1,0,0,10,12,16,0,3,1,0,1,0,0,1,11.28037,11.28037,2.600692,100
12,0,1,0,0,12,12,15,0,2,1,0,1,0,0,1,8.334936,7.823056,1.481338,144
12,0,1,0,0,8,12,12,0,1,1,0,1,0,0,1,5.708711,5.956101,2.212071,64
12,0,1,0,0,15,12,11,0,2,1,0,1,0,0,1,8.334936,8.334936,3.404279,225
15,0,1,0,0,5,10,12,0,2,1,0,1,0,0,1,5.708711,5.956101,2.90249,25
12,0,1,0,0,10,12,12,0,0,0,0,1,0,0,1,5.504197,5.708711,2.599837,100
12,0,1,0,0,10,8,8,0,3,0,0,1,0,0,1,5.504197,5.708711,1.817077,100
14,0,1,0,0,6,9,8,0,3,1,0,1,0,0,1,5.708711,5.956101,1.832582,36
15,0,1,0,0,11,16,16,0,2,0,0,1,0,0,1,18.17392,18.17392,2.734834,121
8,0,1,0,0,13,12,16,1,6,1,0,1,0,0,1,7.438104,6.742574,2.536284,169
12,0,1,0,0,8,12,9,0,2,1,0,1,0,0,1,6.742574,7.198132,1.665527,64
16,0,1,0,0,7,8,12,0,2,1,0,1,0,0,1,9.400303,8.442143,2.555463,49
17,0,0,1,0,5,12,12,0,3,1,0,1,0,0,1,8.442143,7.438104,3.358377,25
15,0,1,0,0,6,12,12,0,3,1,0,1,0,0,1,7.438104,6.742574,2.54117,36
16,0,1,0,0,9,12,16,1,1,1,0,1,0,0,1,9.400303,9.400303,2.335256,81
12,0,1,0,0,13,10,14,0,6,0,0,1,0,0,1,9.400303,9.400303,1.860752,169
12,0,1,0,0,14,12,12,1,3,1,0,1,0,0,1,9.400303,9.400303,2.905218,196
12,0,1,0,0,15,12,12,0,7,1,0,1,0,0,1,9.400303,9.400303,2.634928,225
13,0,0,0,1,10,16,16,0,3,1,0,0,1,0,1,7.879335,7.933977,2.446455,100
12,0,0,0,1,12,8,12,0,1,1,0,0,1,0,0,8.355827,7.879335,2.488138,144
10,0,0,0,1,17,8,5,0,8,0,0,0,1,0,0,8.355827,8.355827,2.212071,289
12,1,0,0,0,14,12,9,0,2,1,0,0,1,0,0,8.355827,8.355827,2.501472,196
11,0,0,0,1,16,12,7,0,1,0,0,0,1,0,0,8.355827,8.355827,1.986154,256
14,0,0,0,1,13,16,16,0,4,1,0,0,1,0,1,8.355827,8.355827,2.08613,169
13,0,0,0,1,11,16,16,0,4,1,0,0,1,0,1,8.355827,8.355827,2.108527,121
15,0,0,0,1,12,14,16,0,1,1,0,0,1,0,1,8.355827,8.355827,4.374909,144
12,0,0,0,1,16,12,16,0,0,0,0,0,1,0,1,8.355827,8.355827,2.748872,256
10,0,0,0,1,11,13,12,0,3,1,0,0,1,0,1,7.35546,6.922371,2.158004,121
15,0,0,0,1,8,12,18,1,3,1,0,0,1,0,1,7.597932,7.35546,2.399096,64
12,0,0,0,1,10,12,14,0,3,1,0,0,1,0,1,7.128922,6.611647,3.411248,100
