Farm	Length	infect
MB	180.7	1
MB	180.3	1
MB	179.4	1
MB	179	1
MB	179	0
MB	176	1
MB	172.5	1
MB	172	1
MB	172	1
MB	171	1
MB	168	1
MB	153	1
MO	214	0
MO	209	0
MO	208	1
MO	205	1
MO	202	1
MO	202	0
MO	201	1
MO	200	1
MO	199	1
MO	198	1
MO	198	1
MO	197	1
MO	197	1
MO	197	1
MO	197	1
MO	197	0
MO	196	1
MO	196	1
MO	195	0
MO	194	1
MO	191	0
MO	188.5	1
MO	188	0
MO	187	1
MO	187	1
MO	187	0
MO	186	1
MO	186	1
MO	185	0
MO	184	0
MO	183	0
MO	182	1
MO	182	1
MO	182	0
MO	179	1
MO	178	1
MO	177	0
MO	176	1
MO	174	1
MO	174	1
MO	174	0
MO	174	0
MO	172	1
MO	171	0
MO	171	0
MO	170	1
MO	170	0
MO	170	0
MO	168	1
MO	167	0
MO	164	0
MO	164	0
MO	163	0
MO	162	1
MO	160	0
MO	158	1
MO	158	1
MO	158	0
MO	155	0
MO	155	0
MO	152	0
MO	152	0
MO	149	0
MO	148	1
MO	148	0
MO	147	0
MO	145	0
MO	144	0
MO	142.3	0
MO	142	1
MO	142	0
MO	139	0
MO	138	0
MO	137	0
MO	136	0
MO	136	0
MO	136	0
MO	132	1
MO	132	0
MO	130	0
MO	126	0
MO	126	0
MO	75	0
NC	190.5	1
NC	187.5	0
NC	182	0
NC	178.6	1
NC	177	0
NC	177	0
NC	175	0
NC	174	0
NC	173	1
NC	172	1
NC	172	0
NC	171	1
NC	170	1
NC	169.4	1
NC	168.2	0
NC	168	0
NC	163	1
NC	160	1
PN	184	1
PN	184	1
PN	183	1
PN	179	1
PN	178	1
PN	178	1
PN	177	1
PN	176	1
PN	176	1
PN	175	1
PN	175	1
PN	173	1
PN	172	1
PN	172	1
PN	171	1
PN	169	1
PN	166	1
PN	166	1
PN	166	1
PN	162	1
QM	179	1
QM	177	1
QM	175.5	0
QM	175	1
QM	173.5	1
QM	168.5	1
QM	162	1
QM	161.5	1
QM	160	1
QM	160	1
QM	160	1
QM	157	1
QM	157	0
QM	155.5	1
QM	152.5	1
QM	148	1
QM	148	1
QM	145	0
QM	144.5	1
QM	144.2	1
QM	143	1
QM	142.1	1
QM	138	1
QM	130	1
QM	120	1
QM	120	1
QM	112	0
RF	181	1
RF	180	1
RF	177	1
RF	177	1
RF	174	1
RF	172	1
RF	170	1
RF	168.5	1
RF	160	1
RF	160	1
RF	155	1
RF	155	1
RN	191	0
RN	189	1
RN	178	0
RN	176	1
RN	174	0
RN	174	0
RN	173	1
RN	172	0
RN	169	1
RN	169	0
RN	166	0
RN	160	1
RN	159	1
RN	143	0
RN	134	0
RN	131	0
RO	186	1
RO	182	1
RO	179	1
RO	178	1
RO	177	1
RO	177	1
RO	175	1
RO	174	1
RO	174	1
RO	172.5	1
RO	172	1
RO	171	1
RO	169	1
RO	168	1
RO	163	1
RO	163	1
RO	162	1
RO	161	1
RO	160	1
RO	159	1
RO	158	1
RO	126.4	0
SAU	185.5	0
SAU	182	0
SAU	166	0
SE	194	1
SE	191	0
SE	190	1
SE	189	1
SE	188	1
SE	181	1
SE	180	1
SE	179	1
SE	178	1
SE	177	1
SE	176	0
SE	174	1
SE	174	1
SE	121.5	0
SE	117	0
TI	200	1
TI	192	1
TI	188	1
TI	187	1
TI	185	1
TI	184	1
TI	184	1
TI	184	1
TI	183	0
TI	182	1
TI	182	1
TI	179	1
TI	179	1
TI	179	1
TI	178	1
TI	175	1
TI	175	1
TI	172	1
TI	170	1
TN	179	1
TN	176	1
TN	173	0
TN	158	1
TN	155	1
TN	154.5	0
TN	145	0
TN	144.9	1
TN	125	0
VISO	174.5	1
VISO	167	1
VISO	167	0
VISO	166.5	1
VISO	166.1	1
VISO	165	1
VISO	164.7	1
VISO	161	1
VISO	160	1
VISO	158	0
VISO	157	1
VISO	149	1
VISO	114.3	1
VY	166	1
VY	148	0
VY	143	1
VY	140	1
